testCase,componentTags,testTags,testSuite
00001,Compartment;Species;Reaction;Parameter,Amount,semantic
00002,Compartment;Species;Reaction;Parameter,Amount,semantic
00003,Compartment;Species;Reaction;Parameter,Amount;NonUnityStoichiometry,semantic
00004,Compartment;Species;Reaction;Parameter,Amount;NonUnityStoichiometry,semantic
00005,Compartment;Species;Reaction;Parameter,Amount,semantic
00006,Compartment;Species;Reaction;Parameter,Amount,semantic
00007,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00008,Compartment;Species;Reaction;Parameter;,Amount;BoundaryCondition,semantic
00009,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00010,Compartment;Species;Reaction;Parameter,Amount,semantic
00011,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00012,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00013,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00014,Compartment;Species;Reaction;Parameter,Amount;NonUnityStoichiometry,semantic
00015,Compartment;Species;Reaction;Parameter,Amount,semantic
00016,Compartment;Species;Reaction;Parameter,Amount;BoundaryCondition,semantic
00017,Compartment;Species;Reaction;Parameter,Amount;NonUnityStoichiometry,semantic
00018,Compartment;Species;Reaction;Parameter,Amount,semantic
00019,Compartment;Species;Reaction;Parameter,Amount,semantic
00020,Compartment;Species;Reaction;Parameter,Amount,semantic
00021,Compartment;Species;Reaction;Parameter,Amount;NonUnityCompartment;NonUnityStoichiometry,semantic
00022,Compartment;Species;Reaction;Parameter,Amount;NonUnityCompartment;NonUnityStoichiometry,semantic
00023,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies;BoundaryCondition,semantic
00024,Compartment;Species;Reaction;Parameter;,Amount;ConstantSpecies;BoundaryCondition,semantic
00025,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00026,Compartment;Species;Reaction;Parameter;EventNoDelay,Amount,semantic
00027,Compartment;Species;Reaction;InitialAssignment,Amount;NonUnityCompartment;LocalParameters;InitialValueReassigned,semantic
00028,Compartment;Species;Reaction;Parameter,Amount,semantic
00029,Compartment;Species;AssignmentRule,Amount,semantic
00030,Compartment;Species;AssignmentRule,Amount;InitialValueReassigned,semantic
00031,Compartment;Species;RateRule,Amount,semantic
00032,Compartment;Species;Parameter;RateRule,Amount,semantic
00033,Compartment;Species;Reaction;Parameter;RateRule,Amount;NonConstantParameter,semantic
00034,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00035,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00036,Compartment;Species;Reaction;Parameter;InitialAssignment,Amount;InitialValueReassigned,semantic
00037,Compartment;Species;Reaction;Parameter;InitialAssignment,Amount;InitialValueReassigned,semantic
00038,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00039,Compartment;Species;Reaction;Parameter;AlgebraicRule,Amount,semantic
00040,Compartment;Species;Parameter;AlgebraicRule;RateRule,Amount,semantic
00041,Compartment;Species;Reaction;Parameter;EventNoDelay,Amount,semantic
00042,Compartment;Species;Reaction;Parameter;,Amount,semantic
00043,Compartment;Species;Reaction;Parameter,Amount,semantic
00044,Compartment;Species;Reaction;Parameter,Amount,semantic
00045,Compartment;Species;Reaction;Parameter,Amount,semantic
00046,Compartment;Species;Reaction;Parameter,Amount,semantic
00047,Compartment;Species;Reaction;Parameter,Amount,semantic
00048,Compartment;Species;Reaction;Parameter,Amount;0D-Compartment,semantic
00049,Compartment;Species;Reaction;Parameter,Amount;0D-Compartment,semantic
00050,Compartment;Species;Reaction;Parameter,Amount;0D-Compartment,semantic
00051,Compartment;Species;Reaction;Parameter;RateRule,Amount;NonConstantCompartment;NonUnityCompartment,semantic
00052,Compartment;Species;Reaction;Parameter;RateRule,Amount;NonConstantCompartment;NonUnityCompartment,semantic
00053,Compartment;Species;Reaction;Parameter;RateRule,Amount;NonConstantCompartment;NonUnityCompartment,semantic
00054,Compartment;Parameter;Reaction;Species,Amount;MultiCompartment;NonUnityStoichiometry,semantic
00055,Compartment;Parameter;Reaction;Species,Amount;MultiCompartment;NonUnityStoichiometry,semantic
00056,Compartment;Parameter;Reaction;Species,Amount;MultiCompartment;ReversibleReaction,semantic
00057,Compartment;Species;Reaction,Amount;LocalParameters,semantic
00058,Compartment;Species;Reaction;Parameter,Amount;LocalParameters,semantic
00059,Compartment;Species;Reaction;Parameter,Amount;LocalParameters,semantic
00060,Compartment;Species;Reaction;Parameter,Amount;HasOnlySubstanceUnits,semantic
00061,Compartment;Species;Reaction;Parameter,Amount;HasOnlySubstanceUnits,semantic
00062,Compartment;Species;Reaction;Parameter,Amount;HasOnlySubstanceUnits,semantic
00063,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies,semantic
00064,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies,semantic
00065,Compartment;Species;Reaction;Parameter,Amount;ConstantSpecies,semantic
00066,Compartment;Species;Reaction;Parameter;RateRule,Amount;NonConstantParameter,semantic
00067,Compartment;Species;Reaction;Parameter;RateRule,Amount;NonConstantParameter,semantic
00068,StoichiometryMath;Compartment;Species;Reaction;Parameter,Amount;AssignedConstantStoichiometry;DefaultValue;NonUnityStoichiometry,semantic
00069,StoichiometryMath;Compartment;Species;Reaction;Parameter,Amount;AssignedConstantStoichiometry;DefaultValue;NonUnityStoichiometry,semantic
00070,StoichiometryMath;Compartment;Species;Reaction;Parameter,Amount;AssignedConstantStoichiometry;DefaultValue;NonUnityStoichiometry,semantic
00074,Compartment;Species;Reaction;Parameter;EventNoDelay,Amount,semantic
00075,Compartment;Species;Reaction;Parameter,Amount;NonUnityCompartment,semantic
00076,Compartment;Species;Reaction;Parameter,Amount;NonUnityCompartment,semantic
00077,Compartment;Species;Reaction;Parameter,Amount;NonUnityCompartment,semantic
00078,Compartment;Species;Reaction;Parameter;FunctionDefinition;AssignmentRule,Amount;InitialValueReassigned,semantic
00079,Compartment;Species;Reaction;Parameter;FunctionDefinition;AssignmentRule,Amount;InitialValueReassigned,semantic
00080,Compartment;Species;Reaction;Parameter;FunctionDefinition;AssignmentRule,Amount,semantic
00081,Compartment;Species;Reaction;Parameter;RateRule,Amount,semantic
00082,Compartment;Species;Reaction;Parameter;RateRule,Amount,semantic
00083,Compartment;Species;Reaction;Parameter;RateRule,Amount,semantic
00084,Compartment;Species;Reaction;Parameter;FunctionDefinition;RateRule,Amount,semantic
00085,Compartment;Species;Reaction;Parameter;FunctionDefinition;RateRule,Amount,semantic
00086,Compartment;Species;Reaction;Parameter;FunctionDefinition;RateRule,Amount,semantic
00087,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00088,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00089,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00090,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount,semantic
00091,Compartment;Species;Reaction;Parameter;AssignmentRule,Amount;InitialValueReassigned,semantic
00092,Compartment;Species;Reaction;Parameter;RateRule;AssignmentRule,Amount;InitialValueReassigned,semantic
00093,Compartment;Species;Reaction;Parameter;RateRule;AssignmentRule,Amount;InitialValueReassigned,semantic
00094,Compartment;Species;Reaction;Parameter;RateRule;AssignmentRule,Amount;InitialValueReassigned,semantic
00095,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00096,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00097,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;0D-Compartment,semantic
00098,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00099,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
00100,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount;0D-Compartment,semantic
00101,Compartment;Species;Reaction;Parameter;FunctionDefinition,Amount,semantic
